RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note,,,
Aramco_4202931852,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBYAB4GA&awcharset=UTF-8,"Alsaeedi, Tariq",04/10/2020 07:35 PM,04/17/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202934506,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBY8Zsva&awcharset=UTF-8,"Alqahtani, Asma",05/10/2020 12:15 AM,05/04/2020 05:30 PM,RFP,,No,,,,,
Aramco_4202957844,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBeXe%21Lu&awcharset=UTF-8,"Muhaisin, Hind",08/10/2020 01:22 PM,08/16/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202954887,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBeXfCI%2B&awcharset=UTF-8,"Muhaisin, Hind",08/10/2020 01:22 PM,08/16/2020 06:00 PM,RFP,,No,,,,,
Aramco_4202977913,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBo81G%21Z&awcharset=UTF-8,"Muhaisin, Hind",11/10/2020 02:42 PM,11/19/2020 05:30 PM,RFP,,No,,,,,
Aramco_4202981520,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBraXmF2&awcharset=UTF-8,"Saleh, Ahmed",12/10/2020 10:26 AM,12/15/2020 05:30 PM,RFP,,Yes,,,,,
Aramco_4202982111,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBrg5MAL&awcharset=UTF-8,"Aldossary, Meaad",12/10/2020 02:40 PM,12/22/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202982060,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBrg1jG3&awcharset=UTF-8,"Aldossary, Meaad",12/10/2020 02:40 PM,12/17/2020 05:30 PM,RFP,,No,,,,,
Aramco_4202912846,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBP76Ac%21&awcharset=UTF-8,"Adab, Abdulmohsen",02/11/2020 10:04 AM,02/14/2020 06:00 PM,RFP,,No,,,,,
Aramco_4202940680,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBY958T6&awcharset=UTF-8,"Adab, Abdulmohsen",05/11/2020 01:02 PM,05/18/2020 01:30 PM,RFP,,Yes,,,,,
